country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;place_id;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;15/02/2020;7;13;3;11;6;-1
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;16/02/2020;4;10;-13;12;0;1
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;17/02/2020;-5;4;3;12;15;-1
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;18/02/2020;-2;4;12;13;17;-2
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;19/02/2020;-7;-1;-3;11;15;-1
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;20/02/2020;-2;3;4;13;15;-1
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;21/02/2020;3;7;1;14;16;-2
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;22/02/2020;-5;6;-15;5;0;0
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;23/02/2020;0;4;-10;12;-4;0
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;24/02/2020;-7;1;20;-9;-37;6
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;25/02/2020;-27;-22;24;-18;-64;11
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;26/02/2020;-24;-13;-15;-18;-39;10
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;27/02/2020;-12;-4;-11;5;12;0
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;28/02/2020;-5;5;-9;8;15;0
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;29/02/2020;-3;11;-12;5;9;1
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;01/03/2020;-6;13;-15;2;1;2
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;02/03/2020;-8;8;-1;12;15;-1
BR;Brazil;State of Amazonas;Manaus;;;;ChIJW6jl1mcFbJIR3OKFSQxz2_A;03/03/2020;-1;14;13;16;18;-3
